MesAno;Regiao;Consumo;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);Estacao
2007-06;Norte;381288,0;65,0;326,40000000000003;999,0571428571428;25,042857142857144;5,4625;1,1857142857142857;inverno
2007-06;Sudeste;3887323,0;465,0;944,6;953,1264705882353;19,120895522388057;6,882089552238806;1,7692307692307692;inverno
2007-06;Sul;1193009,0;240,0;903,0;960,084;16,146153846153847;8,089285714285714;2,38;inverno
2007-07;Centro-Oeste;533647,0;127,0;761,6;956,2945945945946;21,610256410256408;8,019512195121951;2,0486486486486486;inverno
2007-07;Nordeste;1177362,0;399,0;1534,6;974,4861111111111;22,807142857142857;7,433333333333333;2,605882352941176;inverno
2007-07;Norte;374013,0;50,0;282,8;985,2285714285715;24,5625;6,5;1,457142857142857;inverno
2007-07;Sudeste;3813598,0;542,0;3781,8;954,316883116883;18,861250000000002;7,860759493670886;2,1216216216216215;inverno
2007-07;Sul;1172657,0;309,0;3292,8;958,5866666666666;13,466666666666667;8,503448275862068;2,693103448275862;inverno
2007-08;Centro-Oeste;537771,0;40,0;190,6;955,939024390244;22,830000000000002;7,364285714285715;2,3125;inverno
2007-08;Nordeste;1185584,0;429,0;1770,8;978,5255319148936;23,17391304347826;7,278260869565218;3,0818181818181816;inverno
2007-08;Norte;392888,0;36,0;216,60000000000002;987,1125;25,15;6,688888888888889;1,8375;inverno
2007-08;Sudeste;3979163,0;339,0;594,8;954,810975609756;19,957831325301203;7,603703703703704;2,4253164556962026;inverno
2007-08;Sul;1249110,0;288,0;1714,6;960,2533333333333;15,403125;8,778125;2,9464285714285716;inverno
2007-09;Centro-Oeste;579422,0;70,0;334,6;954,7575;26,2375;7,906818181818181;2,3;primavera
2007-09;Nordeste;1164758,0;343,0;1299,0;977,6358490566038;24,646153846153844;7,690196078431373;3,4739999999999998;primavera
2007-09;Norte;408304,0;40,0;217,4;983,1875;26,62222222222222;6,07;1,85;primavera
